Date,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,20Y,25Y
2026-08-18,4.6977,4.9463,5.3196,5.6664,6.3444,6.6831,6.918,7.0624,7.198,7.2941,7.4967,7.4958
2026-08-17,4.7407,4.9682,5.3476,5.6998,6.3429,6.6747,6.9023,7.0419,7.1855,7.3155,7.4994,7.4965
2026-08-14,4.7288,4.9486,5.3385,5.7171,6.3474,6.6754,6.8942,7.0223,7.174,7.3219,7.499,7.4962
2026-08-13,4.7396,4.9436,5.3393,5.7266,6.347,6.6813,6.9046,7.0401,7.1993,7.3531,7.4977,7.496
2026-08-12,4.779,4.9465,5.3563,5.7218,6.3744,6.7125,6.9353,7.0747,7.2296,7.2997,7.4957,7.4954
2026-08-11,4.7676,4.9637,5.3954,5.7326,6.3924,6.7361,6.9512,7.0883,7.2554,7.3607,7.4966,7.4949
2026-08-10,4.7859,5.0021,5.4045,5.7728,6.4338,6.7457,6.9442,7.0664,7.1972,7.2603,7.4999,7.5004
2026-08-07,4.7543,5.0342,5.436,5.8636,6.5158,6.8165,7.0007,7.1053,7.2002,7.2703,7.4936,7.4921
2026-08-06,4.7341,5.0255,5.4455,5.8645,6.5471,6.8375,7.0018,7.0928,7.1822,7.2404,7.49,7.4937
2026-08-05,4.7295,5.0243,5.463,5.8765,6.5747,6.851,7.0096,7.1057,7.2084,7.2472,7.4617,7.4651
2026-08-04,4.7358,5.036,5.5265,5.8853,6.6196,6.918,7.0986,7.206,7.316,7.3436,7.5041,7.5047
2026-08-03,4.7609,5.022,5.5271,5.9381,6.6651,6.9718,7.1637,7.2786,7.3712,7.3859,7.5216,7.5203
2026-07-31,4.766,5.0265,5.5261,5.9487,6.7015,7.0125,7.2088,7.3259,7.433,7.4299,7.5414,7.5436
2026-07-30,4.7931,5.0088,5.505,5.9384,6.6881,7.0025,7.206,7.3273,7.4573,7.5066,7.5399,7.5398
2026-07-29,4.79,5.0058,5.5225,5.9534,6.6547,6.9636,7.1596,7.2799,7.4179,7.4358,7.5562,7.5573
2026-07-28,4.8239,5.0462,5.4993,5.9633,6.6466,6.9666,7.18,7.3153,7.4689,7.4731,7.6784,7.6858
2026-07-27,4.8108,5.0763,5.5145,5.994,6.6818,6.9893,7.2169,7.3708,7.552,7.6153,7.43,7.4325
2026-07-24,4.7819,5.0628,5.4814,5.9696,6.7234,7.0351,7.2639,7.4015,7.5446,7.605,7.4354,7.4315
2026-07-23,4.7486,5.0057,5.4551,5.9701,6.6263,6.9461,7.1759,7.3241,7.4837,7.5427,7.4342,7.4284
2026-07-22,4.7638,5.0218,5.4842,5.9825,6.6066,6.8972,7.118,7.2588,7.4163,7.511,7.4282,7.4216
2026-07-21,4.736,5.0389,5.5271,5.9789,6.6065,6.8852,7.098,7.24,7.3794,7.366,7.8189,7.8107
2026-07-20,4.8057,5.0557,5.5117,6.0029,6.638,6.8811,7.06,7.1764,7.3106,7.3195,7.7093,7.7095
