Date,3Y,5Y,7Y,10Y
2026-09-04,3.42,3.64,3.87,3.93
2026-09-03,3.4,3.65,3.85,3.94
2026-09-02,3.41,3.65,3.86,3.89
2026-09-01,3.38,3.61,3.81,3.87
2026-08-31,3.38,3.61,3.81,3.87
2026-08-28,3.38,3.61,3.77,3.84
2026-08-27,3.38,3.61,3.77,3.84
2026-08-26,3.38,3.58,3.74,3.8
2026-08-25,3.38,3.58,3.74,3.8
2026-08-24,3.36,3.57,3.73,3.8
2026-08-21,3.35,3.55,3.72,3.78
2026-08-20,3.35,3.56,3.72,3.78
2026-08-19,3.36,3.53,3.7,3.77
2026-08-18,3.35,3.54,3.69,3.77
2026-08-17,3.35,3.54,3.69,3.74
2026-08-14,3.35,3.54,3.68,3.75
2026-08-13,3.35,3.54,3.68,3.75
2026-08-12,3.36,3.54,3.68,3.72
2026-08-11,3.36,3.53,3.68,3.72
2026-08-10,3.36,3.53,3.65,3.72
2026-08-07,3.36,3.53,3.65,3.72
2026-08-06,3.36,3.53,3.65,3.71
2026-08-05,3.36,3.53,3.66,3.71
2026-08-04,3.37,3.48,3.66,3.73
2026-08-03,3.35,3.48,3.63,3.7
2026-07-31,3.35,3.48,3.63,3.7
2026-07-30,3.35,3.49,3.63,3.7
2026-07-29,3.35,3.49,3.61,3.71
2026-07-28,3.33,3.44,3.59,3.69
2026-07-27,3.33,3.44,3.59,3.69
2026-07-24,3.33,3.44,3.57,3.69
2026-07-23,3.32,3.42,3.57,3.67
2026-07-22,3.3,3.41,3.56,3.65
2026-07-21,3.3,3.39,3.55,3.65
2026-07-20,3.29,3.38,3.55,3.65
2026-07-17,3.29,3.38,3.56,3.63
2026-07-16,3.29,3.38,3.54,3.63
2026-07-15,3.28,3.37,3.55,3.62
2026-07-14,3.29,3.36,3.55,3.63
2026-07-13,3.27,3.36,3.53,3.62
2026-07-10,3.27,3.36,3.52,3.63
2026-07-09,3.26,3.37,3.54,3.63
2026-07-08,3.26,3.36,3.54,3.62
2026-07-07,3.26,3.36,3.54,3.62
2026-07-06,3.26,3.36,3.54,3.62
2026-07-03,3.26,3.35,3.54,3.61
2026-07-02,3.26,3.36,3.54,3.62
2026-07-01,3.24,3.35,3.54,3.62
2026-06-30,3.24,3.35,3.53,3.61
2026-06-29,3.25,3.37,3.54,3.61
2026-06-26,3.25,3.38,3.55,3.61
2026-06-25,3.25,3.38,3.54,3.61
2026-06-24,3.26,3.37,3.54,3.61
2026-06-23,3.25,3.37,3.56,3.59
2026-06-22,3.25,3.36,3.56,3.59
2026-06-19,3.25,3.36,3.56,3.59
2026-06-18,3.22,3.36,3.53,3.59
2026-06-17,3.22,3.36,3.54,3.59
2026-06-16,3.22,3.36,3.54,3.59
2026-06-15,3.22,3.36,3.54,3.58
2026-06-12,3.24,3.36,3.55,3.61
2026-06-11,3.25,3.37,3.56,3.63
2026-06-10,3.25,3.37,3.56,3.63
2026-06-09,3.27,3.37,3.56,3.64
2026-06-08,3.27,3.37,3.57,3.64
2026-06-05,3.23,3.32,3.54,3.61
2026-06-04,3.23,3.32,3.52,3.61
2026-06-03,3.23,3.32,3.53,3.61
2026-06-02,3.23,3.33,3.54,3.6
2026-06-01,3.23,3.33,3.54,3.6
2026-05-29,3.23,3.33,3.54,3.6
2026-05-28,3.23,3.34,3.56,3.61
2026-05-27,3.22,3.34,3.56,3.6
2026-05-26,3.22,3.34,3.56,3.6
2026-05-25,3.22,3.35,3.56,3.6
2026-05-22,3.22,3.35,3.56,3.64
2026-05-21,3.22,3.35,3.55,3.62
2026-05-20,3.23,3.36,3.57,3.63
2026-05-19,3.23,3.33,3.57,3.62
2026-05-18,3.23,3.33,3.57,3.63
2026-05-15,3.21,3.33,3.53,3.59
2026-05-14,3.21,3.33,3.53,3.59
2026-05-13,3.21,3.33,3.54,3.61
2026-05-12,3.21,3.33,3.53,3.59
2026-05-11,3.19,3.31,3.51,3.57
2026-05-08,3.19,3.31,3.51,3.57
2026-05-07,3.19,3.31,3.52,3.56
2026-05-06,3.19,3.34,3.51,3.57
2026-05-05,3.2,3.34,3.52,3.59
2026-05-04,3.19,3.31,3.52,3.59
2026-05-01,3.17,3.31,3.48,3.59
2026-04-30,3.17,3.31,3.48,3.59
2026-04-29,3.19,3.29,3.48,3.56
2026-04-28,3.18,3.29,3.48,3.55
2026-04-27,3.18,3.29,3.48,3.56
2026-04-24,3.18,3.29,3.5,3.57
2026-04-23,3.17,3.29,3.5,3.57
2026-04-22,3.18,3.29,3.48,3.57
2026-04-21,3.18,3.29,3.49,3.57
2026-04-20,3.19,3.29,3.49,3.58
2026-04-17,3.2,3.29,3.5,3.59
2026-04-16,3.2,3.29,3.5,3.58
2026-04-15,3.21,3.32,3.5,3.57
2026-04-14,3.18,3.32,3.51,3.6
2026-04-13,3.19,3.34,3.53,3.6
2026-04-10,3.19,3.33,3.52,3.59
2026-04-09,3.19,3.36,3.55,3.6
2026-04-08,3.18,3.36,3.55,3.64
2026-04-07,3.21,3.39,3.58,3.64
2026-04-06,3.22,3.38,3.59,3.63
2026-04-03,3.21,3.38,3.59,3.62
2026-04-02,3.21,3.37,3.6,3.62
2026-04-01,3.2,3.37,3.58,3.61
2026-03-31,3.22,3.4,3.62,3.63
2026-03-30,3.23,3.4,3.45,3.65
2026-03-27,3.24,3.39,3.46,3.61
2026-03-26,3.21,3.34,3.41,3.58
2026-03-25,3.2,3.34,3.4,3.55
2026-03-24,3.21,3.34,3.4,3.57
2026-03-23,3.18,3.33,3.38,3.53
2026-03-20,3.18,3.33,3.38,3.53
2026-03-19,3.18,3.33,3.38,3.53
2026-03-18,3.18,3.33,3.36,3.53
2026-03-17,3.18,3.33,3.37,3.53
2026-03-16,3.19,3.33,3.37,3.53
2026-03-13,3.19,3.31,3.36,3.54
2026-03-12,3.19,3.31,3.36,3.54
2026-03-11,3.16,3.29,3.37,3.56
2026-03-10,3.15,3.29,3.36,3.57
2026-03-09,3.17,3.32,3.39,3.57
2026-03-06,3.14,3.28,3.36,3.53
2026-03-05,3.12,3.28,3.36,3.53
2026-03-04,3.11,3.28,3.35,3.53
2026-03-03,3.12,3.28,3.37,3.53
2026-03-02,3.09,3.26,3.34,3.5
2026-02-27,3.1,3.25,3.33,3.5
2026-02-26,3.09,3.27,3.35,3.52
2026-02-25,3.09,3.27,3.37,3.52
2026-02-24,3.09,3.27,3.37,3.52
2026-02-23,3.1,3.26,3.36,3.52
2026-02-20,3.08,3.26,3.36,3.53
2026-02-19,3.08,3.26,3.36,3.53
2026-02-18,3.09,3.26,3.36,3.52
2026-02-17,3.09,3.26,3.36,3.52
2026-02-16,3.09,3.26,3.36,3.52
2026-02-13,3.09,3.27,3.36,3.54
2026-02-12,3.09,3.27,3.37,3.54
2026-02-11,3.09,3.28,3.36,3.54
2026-02-10,3.09,3.28,3.36,3.54
2026-02-09,3.1,3.28,3.36,3.54
2026-02-06,3.09,3.27,3.37,3.55
2026-02-05,3.11,3.27,3.37,3.55
2026-02-04,3.12,3.27,3.36,3.53
2026-02-03,3.11,3.27,3.36,3.54
2026-02-02,3.11,3.24,3.36,3.53
2026-01-30,3.11,3.24,3.36,3.53
2026-01-29,3.09,3.26,3.35,3.53
2026-01-28,3.1,3.24,3.34,3.53
2026-01-27,3.1,3.25,3.34,3.53
2026-01-26,3.1,3.25,3.34,3.53
2026-01-23,3.11,3.27,3.36,3.54
2026-01-22,3.12,3.29,3.37,3.54
2026-01-21,3.14,3.32,3.39,3.57
2026-01-20,3.15,3.3,3.37,3.57
2026-01-19,3.13,3.3,3.37,3.56
2026-01-16,3.12,3.28,3.36,3.54
2026-01-15,3.1,3.27,3.34,3.52
2026-01-14,3.1,3.27,3.34,3.53
2026-01-13,3.1,3.27,3.35,3.51
2026-01-12,3.09,3.27,3.34,3.51
2026-01-09,3.09,3.27,3.34,3.51
2026-01-08,3.09,3.25,3.33,3.51
2026-01-07,3.09,3.27,3.33,3.51
2026-01-06,3.09,3.26,3.33,3.52
2026-01-05,3.09,3.24,3.33,3.51
2026-01-02,3.09,3.24,3.32,3.51
2026-01-01,3.09,3.25,3.32,3.52
2025-12-31,3.09,3.25,3.32,3.52
2025-12-30,3.09,3.25,3.35,3.54
2025-12-29,3.1,3.26,3.34,3.54
2025-12-26,3.09,3.26,3.35,3.55
2025-12-25,3.1,3.25,3.34,3.55
2025-12-24,3.1,3.25,3.34,3.55
2025-12-23,3.1,3.24,3.34,3.54
2025-12-22,3.12,3.26,3.34,3.56
2025-12-19,3.12,3.26,3.34,3.56
2025-12-18,3.12,3.28,3.35,3.57
2025-12-17,3.12,3.28,3.36,3.57
2025-12-16,3.13,3.29,3.36,3.57
2025-12-15,3.13,3.29,3.36,3.58
2025-12-12,3.13,3.29,3.37,3.57
2025-12-11,3.13,3.29,3.36,3.56
2025-12-10,3.15,3.3,3.37,3.56
2025-12-09,3.13,3.29,3.37,3.56
2025-12-08,3.13,3.26,3.35,3.54
2025-12-05,3.11,3.26,3.34,3.53
2025-12-04,3.12,3.26,3.34,3.53
2025-12-03,3.12,3.26,3.34,3.53
2025-12-02,3.12,3.28,3.37,3.54
2025-12-01,3.12,3.27,3.35,3.53
2025-11-28,3.1,3.26,3.35,3.53
2025-11-27,3.09,3.24,3.32,3.52
2025-11-26,3.09,3.23,3.31,3.51
2025-11-25,3.09,3.23,3.32,3.51
2025-11-24,3.1,3.24,3.33,3.51
2025-11-21,3.1,3.25,3.34,3.51
2025-11-20,3.11,3.24,3.34,3.52
2025-11-19,3.1,3.24,3.34,3.52
2025-11-18,3.1,3.25,3.34,3.52
2025-11-17,3.1,3.25,3.32,3.52
2025-11-14,3.1,3.23,3.32,3.51
2025-11-13,3.09,3.23,3.32,3.5
2025-11-12,3.11,3.22,3.32,3.52
2025-11-11,3.13,3.24,3.35,3.56
2025-11-10,3.14,3.24,3.35,3.56
2025-11-07,3.13,3.23,3.35,3.57
2025-11-06,3.16,3.26,3.38,3.56
2025-11-05,3.14,3.25,3.37,3.54
2025-11-04,3.15,3.25,3.38,3.56
2025-11-03,3.15,3.25,3.37,3.54
2025-10-31,3.14,3.25,3.37,3.52
2025-10-30,3.14,3.25,3.37,3.52
2025-10-29,3.12,3.24,3.35,3.49
2025-10-28,3.11,3.23,3.36,3.48
2025-10-27,3.1,3.24,3.36,3.48
2025-10-24,3.12,3.24,3.36,3.48
2025-10-23,3.09,3.23,3.34,3.48
2025-10-22,3.11,3.23,3.36,3.5
2025-10-21,3.07,3.23,3.35,3.52
2025-10-20,3.08,3.22,3.31,3.48
2025-10-17,3.08,3.22,3.31,3.48
2025-10-16,3.08,3.22,3.31,3.48
2025-10-15,3.09,3.21,3.3,3.47
2025-10-14,3.09,3.21,3.31,3.46
2025-10-13,3.1,3.24,3.32,3.48
2025-10-10,3.11,3.24,3.34,3.48
2025-10-09,3.13,3.25,3.36,3.51
2025-10-08,3.15,3.25,3.36,3.53
2025-10-07,3.15,3.24,3.36,3.5
2025-10-06,3.15,3.25,3.37,3.52
2025-10-03,3.13,3.22,3.34,3.48
2025-10-02,3.12,3.22,3.34,3.48
2025-10-01,3.15,3.25,3.36,3.49
2025-09-30,3.15,3.24,3.37,3.48
2025-09-29,3.15,3.24,3.36,3.51
2025-09-26,3.17,3.26,3.37,3.51
2025-09-25,3.14,3.19,3.34,3.49
2025-09-24,3.11,3.19,3.29,3.45
2025-09-23,3.11,3.2,3.3,3.46
2025-09-22,3.11,3.19,3.28,3.45
2025-09-19,3.06,3.14,3.26,3.41
2025-09-18,3.06,3.15,3.25,3.42
2025-09-17,3.05,3.16,3.25,3.43
2025-09-16,3.07,3.15,3.28,3.42
2025-09-15,3.07,3.15,3.28,3.42
2025-09-12,3.07,3.15,3.28,3.42
2025-09-11,3.07,3.15,3.29,3.43
2025-09-10,3.07,3.15,3.26,3.42
2025-09-09,3.06,3.14,3.26,3.42
2025-09-08,3.06,3.15,3.25,3.42
2025-09-05,3.06,3.15,3.26,3.43
2025-09-04,3.06,3.15,3.26,3.43
2025-09-03,3.06,3.15,3.28,3.43
2025-09-02,3.05,3.14,3.26,3.42
2025-09-01,3.02,3.13,3.25,3.41
2025-08-29,3.02,3.13,3.25,3.41
2025-08-28,3.03,3.13,3.25,3.42
2025-08-27,3.03,3.14,3.25,3.42
2025-08-26,3.01,3.11,3.23,3.4
2025-08-25,3.01,3.11,3.23,3.4
2025-08-22,3.02,3.13,3.24,3.4
2025-08-21,3.01,3.13,3.24,3.41
2025-08-20,3.02,3.11,3.24,3.42
2025-08-19,3.02,3.11,3.24,3.4
2025-08-18,3.01,3.11,3.22,3.37
2025-08-15,3.01,3.13,3.22,3.38
2025-08-14,3.0,3.15,3.23,3.37
2025-08-13,3.03,3.15,3.26,3.39
2025-08-12,3.05,3.15,3.25,3.4
2025-08-11,3.03,3.14,3.24,3.41
2025-08-08,3.05,3.14,3.25,3.39
2025-08-07,3.08,3.16,3.28,3.4
2025-08-06,3.09,3.2,3.3,3.41
2025-08-05,3.09,3.19,3.32,3.41
2025-08-04,3.08,3.2,3.33,3.42
2025-08-01,3.11,3.22,3.35,3.43
2025-07-31,3.1,3.19,3.33,3.41
2025-07-30,3.09,3.19,3.32,3.41
2025-07-29,3.1,3.19,3.33,3.42
2025-07-28,3.1,3.19,3.33,3.42
2025-07-25,3.1,3.19,3.32,3.44
2025-07-24,3.1,3.2,3.34,3.46
2025-07-23,3.12,3.2,3.35,3.47
2025-07-22,3.13,3.2,3.35,3.47
2025-07-21,3.13,3.2,3.34,3.47
2025-07-18,3.12,3.2,3.34,3.47
2025-07-17,3.13,3.21,3.36,3.48
2025-07-16,3.14,3.23,3.36,3.5
2025-07-15,3.13,3.23,3.37,3.48
2025-07-14,3.13,3.22,3.36,3.48
2025-07-11,3.11,3.21,3.35,3.47
2025-07-10,3.11,3.21,3.35,3.48
2025-07-09,3.12,3.22,3.37,3.47
2025-07-08,3.14,3.23,3.36,3.48
2025-07-07,3.16,3.25,3.37,3.49
2025-07-04,3.15,3.26,3.37,3.5
2025-07-03,3.15,3.25,3.37,3.49
2025-07-02,3.15,3.25,3.37,3.5
2025-07-01,3.16,3.26,3.37,3.5
2025-06-30,3.17,3.28,3.38,3.51
2025-06-27,3.15,3.27,3.38,3.5
2025-06-26,3.15,3.27,3.38,3.5
2025-06-25,3.16,3.29,3.38,3.53
2025-06-24,3.18,3.32,3.39,3.55
2025-06-23,3.2,3.34,3.43,3.55
2025-06-20,3.2,3.33,3.43,3.57
2025-06-19,3.22,3.34,3.44,3.57
2025-06-18,3.22,3.35,3.43,3.57
2025-06-17,3.22,3.35,3.44,3.57
2025-06-16,3.21,3.34,3.43,3.56
2025-06-13,3.18,3.32,3.41,3.53
2025-06-12,3.18,3.32,3.41,3.55
2025-06-11,3.19,3.33,3.44,3.56
2025-06-10,3.17,3.3,3.4,3.53
2025-06-09,3.16,3.29,3.4,3.52
2025-06-06,3.15,3.28,3.4,3.51
2025-06-05,3.16,3.29,3.4,3.52
2025-06-04,3.17,3.29,3.4,3.53
2025-06-03,3.17,3.29,3.4,3.53
2025-06-02,3.17,3.29,3.39,3.52
2025-05-30,3.17,3.29,3.39,3.52
2025-05-29,3.17,3.3,3.41,3.53
2025-05-28,3.16,3.29,3.4,3.53
2025-05-27,3.17,3.3,3.42,3.55
2025-05-26,3.17,3.32,3.44,3.56
2025-05-23,3.18,3.32,3.45,3.54
2025-05-22,3.19,3.34,3.47,3.56
