Date,3Y,5Y,7Y,10Y,20Y
2026-08-19,3.33,3.54,3.7,3.74,
2026-08-18,3.32,3.53,3.68,3.74,
2026-08-17,3.33,3.53,3.69,3.74,
2026-08-14,3.34,3.53,3.69,3.74,
2026-08-13,3.34,3.53,3.69,3.74,
2026-08-12,3.34,3.53,3.67,3.74,
2026-08-11,3.32,3.53,3.68,3.74,
2026-08-10,3.32,3.53,3.67,3.73,
2026-08-07,3.32,3.53,3.67,3.72,
2026-08-06,3.32,3.53,3.67,3.72,
2026-08-05,3.32,3.52,3.67,3.73,
2026-08-04,3.32,3.52,3.67,3.73,
2026-08-03,3.3,3.49,3.65,3.71,
2026-07-31,3.3,3.49,3.65,3.7,
2026-07-30,3.31,3.51,3.65,3.72,
2026-07-29,3.32,3.51,3.67,3.72,
2026-07-28,3.29,3.48,3.63,3.7,
2026-07-27,3.29,3.47,3.62,3.69,
2026-07-24,3.29,3.49,3.63,3.7,
2026-07-23,3.29,3.46,3.6,3.69,
2026-07-22,3.27,3.44,3.59,3.67,
2026-07-21,3.27,3.42,3.57,3.66,
2026-07-20,3.25,3.43,3.56,3.65,
2026-07-17,3.26,3.41,3.55,3.65,
2026-07-16,3.25,3.4,3.54,3.63,
2026-07-15,3.26,3.4,3.55,3.63,
2026-07-14,3.28,3.41,3.55,3.64,
2026-07-13,3.26,3.39,3.54,3.62,
2026-07-10,3.25,3.39,3.53,3.62,
2026-07-09,3.26,3.41,3.54,3.63,
2026-07-08,3.26,3.41,3.55,3.63,
2026-07-07,3.25,3.39,3.54,3.62,
2026-07-06,3.25,3.39,3.53,3.61,
2026-07-03,3.26,3.39,3.53,3.62,
2026-07-02,3.26,3.4,3.54,3.63,
2026-07-01,3.26,3.4,3.53,3.61,
2026-06-30,3.25,3.37,3.53,3.6,
2026-06-29,3.26,3.39,3.53,3.6,
2026-06-26,3.25,3.41,3.55,3.61,
2026-06-25,3.25,3.41,3.55,3.61,
2026-06-24,3.26,3.42,3.57,3.63,
2026-06-23,3.26,3.43,3.57,3.62,
2026-06-22,3.27,3.43,3.57,3.62,
2026-06-19,3.26,3.43,3.57,3.61,
2026-06-18,3.25,3.45,3.57,3.6,
2026-06-17,3.24,3.43,3.54,3.61,
2026-06-16,3.24,3.43,3.54,3.61,
2026-06-15,3.23,3.42,3.54,3.58,
2026-06-12,3.24,3.44,3.56,3.58,
2026-06-11,3.26,3.44,3.58,3.6,
2026-06-10,3.26,3.44,3.57,3.61,
2026-06-09,3.27,3.44,3.58,3.61,
2026-06-08,3.27,3.44,3.58,3.62,
2026-06-05,3.25,3.42,3.55,3.57,
2026-06-04,3.25,3.4,3.53,3.56,
2026-06-03,3.24,3.41,3.51,3.55,
2026-06-02,3.23,3.4,3.51,3.56,
2026-06-01,3.23,3.4,3.51,3.56,
2026-05-29,3.23,3.4,3.51,3.56,
2026-05-28,3.22,3.39,3.57,3.58,
2026-05-27,3.21,3.41,3.53,3.59,
2026-05-26,3.21,3.41,3.53,3.59,
2026-05-25,3.21,3.4,3.54,3.58,
2026-05-22,3.23,3.41,3.57,3.61,
2026-05-21,3.23,3.41,3.54,3.61,
2026-05-20,3.23,3.42,3.54,3.61,
2026-05-19,3.23,3.42,3.53,3.61,
2026-05-18,3.24,3.41,3.53,3.59,
2026-05-15,3.22,3.38,3.49,3.57,
2026-05-14,3.21,3.36,3.47,3.58,
2026-05-13,3.22,3.37,3.48,3.58,
2026-05-12,3.19,3.36,3.45,3.57,
2026-05-11,3.19,3.35,3.45,3.55,
2026-05-08,3.19,3.34,3.45,3.55,
2026-05-07,3.19,3.34,3.44,3.56,
2026-05-06,3.2,3.34,3.46,3.57,
2026-05-05,3.21,3.36,3.46,3.57,
2026-05-04,3.21,3.35,3.44,3.56,
2026-05-01,3.21,3.35,3.44,3.57,
2026-04-30,3.21,3.35,3.44,3.57,
2026-04-29,3.19,3.33,3.43,3.55,
2026-04-28,3.19,3.33,3.44,3.54,
2026-04-27,3.17,3.32,3.43,3.54,
2026-04-24,3.17,3.34,3.44,3.55,
2026-04-23,3.17,3.38,3.44,3.55,
2026-04-22,3.17,3.31,3.46,3.55,
2026-04-21,3.17,3.31,3.45,3.55,
2026-04-20,3.18,3.35,3.45,3.58,
2026-04-17,3.19,3.35,3.46,3.58,
2026-04-16,3.19,3.34,3.47,3.56,
2026-04-15,3.19,3.35,3.47,3.57,
2026-04-14,3.2,3.36,3.47,3.57,
2026-04-13,3.22,3.36,3.47,3.59,
2026-04-10,3.23,3.37,3.48,3.59,
2026-04-09,3.23,3.39,3.51,3.6,
2026-04-08,3.23,3.4,3.49,3.59,
2026-04-07,3.24,3.41,3.53,3.63,
2026-04-06,3.24,3.43,3.53,3.62,
2026-04-03,3.24,3.43,3.53,3.62,
2026-04-02,3.24,3.43,3.52,3.62,
2026-04-01,3.23,3.41,3.51,3.58,
2026-03-31,3.26,3.43,3.55,3.63,
2026-03-30,3.29,3.46,3.54,3.65,
2026-03-27,3.29,3.43,3.53,3.63,
2026-03-26,3.26,3.42,3.5,3.6,
2026-03-25,3.23,3.4,3.48,3.58,
2026-03-24,3.24,3.4,3.49,3.58,
2026-03-23,3.22,3.37,3.45,3.56,
2026-03-20,3.22,3.37,3.45,3.56,
2026-03-19,3.22,3.37,3.45,3.56,
2026-03-18,3.21,3.34,3.43,3.54,
2026-03-17,3.22,3.36,3.44,3.56,
2026-03-16,3.23,3.38,3.45,3.57,
2026-03-13,3.14,3.38,3.46,3.57,
2026-03-12,3.14,3.37,3.46,3.55,
2026-03-11,3.11,3.36,3.45,3.55,
2026-03-10,3.1,3.35,3.47,3.55,
2026-03-09,3.16,3.38,3.48,3.59,
2026-03-06,3.1,3.35,3.44,3.55,
2026-03-05,3.09,3.34,3.42,3.54,
2026-03-04,3.08,3.33,3.43,3.54,
2026-03-03,3.07,3.35,3.41,3.54,
2026-03-02,3.03,3.31,3.39,3.49,
2026-02-27,3.03,3.31,3.4,3.48,
2026-02-26,3.03,3.3,3.43,3.51,
2026-02-25,3.02,3.27,3.44,3.52,
2026-02-24,3.02,3.27,3.44,3.53,
2026-02-23,3.03,3.27,3.43,3.52,
2026-02-20,3.02,3.27,3.43,3.52,
2026-02-19,3.04,3.28,3.44,3.52,
2026-02-18,3.05,3.27,3.43,3.52,
2026-02-17,3.05,3.27,3.43,3.52,
2026-02-16,3.05,3.27,3.43,3.52,
2026-02-13,3.05,3.3,3.45,3.54,
