Date,O/N,1M,3M,6M
2026-08-27,2.75,2.75302,2.76043,2.76968
2026-08-26,2.75,2.75302,2.76043,2.76974
2026-08-24,2.75,2.75302,2.76043,2.76974
2026-08-21,2.75,2.75301,2.76043,2.76974
2026-08-20,2.75,2.75303,2.76043,2.76974
2026-08-19,2.75,2.75303,2.76043,2.76974
2026-08-18,2.75,2.75303,2.76043,2.76974
2026-08-17,2.75,2.75302,2.76043,2.76974
2026-08-14,2.75,2.75301,2.76054,2.76974
2026-08-13,2.75,2.75303,2.76076,2.76974
2026-08-12,2.75,2.75335,2.76076,2.76974
2026-08-11,2.75,2.75335,2.76076,2.76974
2026-08-10,2.75,2.75335,2.76076,2.76974
2026-08-07,2.75,2.75333,2.76076,2.76974
2026-08-06,2.75,2.75335,2.76076,2.76974
2026-08-05,2.75,2.75335,2.76076,2.76974
2026-08-04,2.75,2.75335,2.76076,2.76974
2026-08-03,2.75,2.75335,2.76076,2.76974
2026-07-31,2.75,2.75333,2.76076,2.76974
2026-07-30,2.75,2.75368,2.76076,2.76974
2026-07-29,2.75,2.75359,2.76067,2.76973
2026-07-28,2.75,2.75393,2.76067,2.76973
2026-07-27,2.75,2.75393,2.76067,2.76973
2026-07-24,2.75,2.75392,2.76067,2.76973
2026-07-23,2.75,2.75393,2.76067,2.76973
2026-07-22,2.75,2.75393,2.76067,2.76973
2026-07-21,2.75,2.75393,2.76067,2.76973
2026-07-20,2.75,2.75393,2.76067,2.76973
2026-07-17,2.75,2.75392,2.76067,2.76973
2026-07-16,2.75,2.75459,2.76067,2.76973
2026-07-15,2.75,2.75492,2.76067,2.76973
2026-07-14,2.75,2.75492,2.76067,2.76973
2026-07-13,2.76,2.75492,2.76067,2.76973
2026-07-10,2.75,2.75458,2.76056,2.76968
2026-07-09,2.75,2.75459,2.76056,2.76968
2026-07-08,2.75,2.75459,2.76056,2.76968
2026-07-07,2.75,2.75459,2.76056,2.76968
2026-07-06,2.75,2.75492,2.76056,2.76968
2026-07-03,2.75,2.75525,2.76056,2.76968
2026-07-02,2.75,2.75592,2.76056,2.76968
2026-07-01,2.75,2.75592,2.76056,2.76968
2026-06-30,2.76,2.75592,2.76056,2.76968
2026-06-29,2.76,2.75557,2.76054,2.76972
