Date,O/N,1M,3M,6M
2026-08-21,2.75,2.75398,2.76087,2.76974
2026-08-20,2.75,2.75432,2.76087,2.76974
2026-08-19,2.75,2.75432,2.76087,2.76974
2026-08-18,2.75,2.75432,2.76087,2.76974
2026-08-17,2.75,2.75432,2.76087,2.76974
2026-08-14,2.75,2.7543,2.76087,2.76974
2026-08-13,2.75,2.75529,2.76087,2.76974
2026-08-12,2.75,2.75562,2.76087,2.76974
2026-08-11,2.75,2.75594,2.76087,2.76974
2026-08-10,2.75,2.75626,2.76087,2.76974
2026-08-07,2.75,2.75657,2.76087,2.76974
2026-08-06,2.75,2.75659,2.76087,2.76974
2026-08-05,2.75,2.75659,2.76087,2.76974
2026-08-04,2.75,2.75659,2.76087,2.76974
2026-08-03,2.75,2.75658,2.76087,2.76974
2026-07-31,2.75,2.75657,2.76087,2.76974
2026-07-30,2.75,2.75659,2.76087,2.76974
2026-07-29,2.75,2.7566,2.76078,2.76973
2026-07-28,2.75,2.75693,2.76078,2.76968
2026-07-27,2.75,2.75693,2.76078,2.76968
2026-07-24,2.76,2.75692,2.76078,2.76968
2026-07-23,2.76,2.75626,2.76044,2.76951
2026-07-22,2.75,2.75593,2.76033,2.76945
2026-07-21,2.75,2.75593,2.76033,2.76945
2026-07-20,2.75,2.75593,2.76033,2.76945
2026-07-17,2.75,2.75592,2.76033,2.76945
2026-07-16,2.76,2.75626,2.76033,2.76945
2026-07-15,2.76,2.75592,2.76022,2.7694
2026-07-14,2.76,2.75559,2.76011,2.76934
2026-07-13,2.76,2.75525,2.76,2.76928
2026-07-10,2.76,2.75491,2.75989,2.76923
2026-07-09,2.75,2.75392,2.75956,2.76906
2026-07-08,2.75,2.75392,2.75956,2.76906
2026-07-07,2.75,2.75392,2.75956,2.76906
2026-07-06,2.75,2.75392,2.75956,2.76906
2026-07-03,2.75,2.75391,2.75956,2.76906
2026-07-02,2.75,2.75392,2.75956,2.76906
2026-07-01,2.75,2.75392,2.75956,2.76906
2026-06-30,2.75,2.75391,2.75956,2.76906
2026-06-29,2.76,2.75395,2.75977,2.76916
2026-06-26,2.75,2.7536,2.75966,2.76911
2026-06-25,2.76,2.75362,2.75977,2.76927
2026-06-24,2.75,2.75329,2.75966,2.76922
2026-06-23,2.75,2.75329,2.75966,2.76922
2026-06-22,2.75,2.75329,2.75977,2.76922
