Date,O/N,1M,3M,6M
2026-08-18,,0.99242,0.99386,1.00536
2026-08-17,0.99124,0.99243,0.99394,1.00677
2026-08-14,0.98715,,,
2026-08-13,0.99532,,,
2026-08-11,0.99367,,,
2026-08-10,0.99058,,,
2026-08-07,0.99496,,,
2026-08-06,0.99277,,,
2026-08-05,0.99342,,,
2026-08-04,0.99002,,,
2026-08-03,0.99309,,,
2026-07-31,0.98602,,,
2026-07-30,0.98992,,,
2026-07-27,0.99474,,,
2026-07-24,0.99259,,,
2026-07-23,0.99376,,,
2026-07-22,0.99274,,,
2026-07-21,0.99279,,,
2026-07-20,0.99237,,,
2026-07-17,0.99426,,,
2026-07-16,0.99404,,,
2026-07-15,0.99288,,,
2026-07-14,0.99148,,,
2026-07-13,0.9909,,,
2026-07-10,0.99113,,,
2026-07-09,0.99198,,,
2026-07-08,0.99213,,,
2026-07-07,0.99128,,,
2026-07-06,0.99201,,,
2026-07-03,0.98763,,,
2026-07-02,0.99098,,,
2026-07-01,0.99352,,,
2026-06-30,0.98854,,,
2026-06-29,0.99185,,,
2026-06-26,0.99567,,,
2026-06-25,0.99375,,,
2026-06-24,0.99391,,,
2026-06-23,0.9894,,,
2026-06-22,0.99376,,,
2026-06-19,0.99466,,,
2026-06-18,0.99506,,,
2026-06-17,0.99481,,,
2026-06-16,0.99448,,,
2026-06-15,0.99217,,,
2026-06-12,0.99528,,,
2026-06-11,0.99419,,,
2026-06-10,0.99538,,,
2026-06-09,0.9938,,,
2026-06-08,0.99393,,,
2026-06-05,0.99236,,,
2026-06-04,0.99178,,,
2026-06-02,0.99259,,,
2026-05-29,0.99403,,,
2026-05-28,0.99373,,,
2026-05-27,0.99208,,,
2026-05-26,0.99529,,,
2026-05-25,0.99402,,,
2026-05-22,0.99338,,,
2026-05-21,0.99485,,,
2026-05-20,0.98979,,,
2026-05-19,0.9941,,,
2026-05-18,0.99559,,,
2026-05-15,0.9939,,,
2026-05-14,0.99224,,,
2026-05-13,0.99376,,,
2026-05-12,0.99146,,,
2026-05-11,0.99398,,,
2026-05-08,0.993,,,
2026-05-07,0.99515,,,
2026-05-06,0.99471,,,
2026-05-05,0.9919,,,
2026-04-30,0.9916,,,
2026-04-29,0.99301,,,
2026-04-28,0.99608,,,
2026-04-27,0.99617,,,
2026-04-24,0.99275,,,
2026-04-23,0.99544,,,
2026-04-22,0.99639,,,
2026-04-21,0.99723,,,
2026-04-20,0.99708,,,
2026-04-17,0.99312,,,
2026-04-16,0.99435,,,
2026-04-10,0.99408,,,
2026-04-09,0.99635,,,
2026-04-08,0.99172,,,
2026-04-07,0.99332,,,
2026-04-03,0.99283,,,
2026-04-02,0.99482,,,
2026-04-01,0.99343,,,
2026-03-31,0.9885,,,
2026-03-30,0.9929,,,
2026-03-27,0.9957,,,
2026-03-26,0.99536,,,
2026-03-25,0.99353,,,
2026-03-24,0.99522,,,
2026-03-23,0.99566,,,
2026-03-20,0.99466,,,
2026-03-19,0.99549,,,
2026-03-18,0.99606,,,
2026-03-17,0.99272,,,
2026-03-16,0.99412,,,
2026-03-13,0.99309,,,
2026-03-12,0.99578,,,
2026-03-11,0.99252,,,
2026-03-10,0.99355,,,
2026-03-09,0.99507,,,
2026-03-06,0.99415,,,
2026-03-05,0.99642,,,
2026-03-04,0.99264,,,
2026-03-02,0.9954,,,
2026-02-27,0.99071,,,
2026-02-26,0.99312,,,
2026-02-25,0.99532,,,
2026-02-24,1.24364,,,
2026-02-23,1.24099,,,
2026-02-20,1.24542,,,
2026-02-19,1.24531,,,
